t,a,H,psi0,psi1,psi2,psi3,psi4,psi5,psi6,psi7,psi8,psi9,psi10,psi11,psi12,psi13,psi14,psi15,S,rho,pressure,w,dust_like_fraction,negative_pressure_fraction,acceleration,Hdot,torsion_trace_time,torsion_scalar,levi_civita_ricci_scalar,boundary_term,boundary_identity_residual,dirac_equivalence_residual,S_relative_error,density_relative_error,friedmann_relative_error
-1.00000000000000006e-01,9.00669341557556180e-01,1.09719709442473556e+00,1.44191304752989269e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.40198142346050613e-02,-2.80396284692101226e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.20956523764946344e-01,2.07989945740163362e+00,1.20384146401795755e+00,-8.79877192918300688e-01,-7.30891250399044012e-01,8.63859370011950400e-02,9.13614062998804877e-01,6.99665151652828499e-02,-1.13387494884879914e+00,7.68037966097314850e+00,5.05613414885914452e+01,5.15408727009054104e+01,1.02102214189496863e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.23084206621200712e-10,3.31231257521862715e-11,3.21933298544673242e-12
-8.99999999999999967e-02,9.10554840695660395e-01,1.08605278902259750e+00,1.38790393969084769e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.23904637832706280e-02,-2.47809275665412561e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.93951969845423844e-01,1.92689144018043446e+00,1.17951066054784914e+00,-8.66532870831062008e-01,-7.34654547699112870e-01,8.16818153761089544e-02,9.18318184623891032e-01,8.40883965350076590e-02,-1.09542226400875498e+00,7.60236952315818293e+00,4.95394477428380284e+01,5.07166852943281441e+01,1.00256133037166165e+02,0.00000000000000000e+00,0.00000000000000000e+00,1.12555761832872933e-10,2.98662825146921870e-11,3.46457988530786929e-12
-8.00000000000000017e-02,9.20447987733488238e-01,1.07528031482720854e+00,1.33642831191152323e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.08220043849608510e-02,-2.16440087699217021e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.68214155955761613e-01,1.78650909599431595e+00,1.15622775545911938e+00,-8.53521840527522890e-01,-7.38195253052546851e-01,7.72559336843164635e-02,9.22744066315683620e-01,9.67570531943131584e-02,-1.05947070226058759e+00,7.52696220379045933e+00,4.85615657291058298e+01,4.99161644738262069e+01,9.84777302029320509e+01,-1.42108547152020037e-14,0.00000000000000000e+00,1.03046442705946137e-10,2.69780983490780775e-11,3.64861112272427789e-12
-7.00000000000000067e-02,9.30350032683216921e-01,1.06485576083292277e+00,1.28733701117891597e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.31004446309605799e-03,-1.86200889261921160e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.43668505589457984e-01,1.65758328806268374e+00,1.13391779138335136e+00,-8.40830901584173840e-01,-7.41527214736071083e-01,7.30909815799112711e-02,9.26909018420088771e-01,1.08113677081941528e-01,-1.02580411429712126e+00,7.45399032583045962e+00,4.76245472379206376e+01,4.91381387170678252e+01,9.67626859549884557e+01,0.00000000000000000e+00,0.00000000000000000e+00,9.44371548696029685e-11,2.44092492943594352e-11,3.78208149842159806e-12
-6.00000000000000117e-02,9.40262128585655388e-01,1.05475726533223768e+00,1.24049183708599986e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.85051286809672517e-03,-1.57010257361934503e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.20245918542999930e-01,1.53906652008616729e+00,1.11251288877544985e+00,-8.28447650216913134e-01,-7.44663417903221658e-01,6.91707276209729133e-02,9.30829272379027017e-01,1.18284553816261906e-01,-9.94228334954878501e-01,7.38330085732566399e+00,4.67255413283878980e+01,4.83815250818155675e+01,9.51070664102034584e+01,0.00000000000000000e+00,0.00000000000000000e+00,8.66236617270850318e-11,2.21183802602244926e-11,3.87361057643874862e-12
-5.00000000000000028e-02,9.50185339538459073e-01,1.04496480910308942e+00,1.19576454347870698e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,6.43962980049902958e-03,-1.28792596009980592e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.97882271739353488e-01,1.43001871876871034e+00,1.09195145226814838e+00,-8.16360413063770274e-01,-7.47616033082850184e-01,6.54799586464373112e-02,9.34520041353562703e-01,1.27382815048532660e-01,-9.64568637215323377e-01,7.31475366372162572e+00,4.58619609950819580e+01,4.76453204057614101e+01,9.35072814008433681e+01,0.00000000000000000e+00,0.00000000000000000e+00,7.95444975300814109e-11,2.00757988510741682e-11,3.93089294298746701e-12
-4.00000000000000008e-02,9.60120647970680086e-01,1.03546003235427819e+00,1.15303594918114594e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.07388090140662579e-03,-1.01477618028132516e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.76517974590572968e-01,1.32959487717367275e+00,1.07217747860736790e+00,-8.04558187798947388e-01,-7.50396463134045288e-01,6.20044210824433617e-02,9.37995578917556583e-01,1.35509960773651073e-01,-9.36667517829471774e-01,7.24822022647994757e+00,4.50314541013311640e+01,4.69285935521622761e+01,9.19600476534934330e+01,0.00000000000000000e+00,0.00000000000000000e+00,7.30979801503363624e-11,1.82456488536501595e-11,3.95927805018863692e-12
-3.00000000000000058e-02,9.70068961244392236e-01,1.02622607236052565e+00,1.11219514391922547e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.74999411159870856e-03,-7.49998822319741711e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.56097571959612735e-01,1.23703428798085469e+00,1.05313995159668616e+00,-7.93030589758114801e-01,-7.53015388463599278e-01,5.87307644205009374e-02,9.41269235579499153e-01,1.42757185157511124e-01,-9.10382766434999713e-01,7.18358250652367936e+00,4.42318779668854560e+01,4.62304785590906064e+01,9.04623565259760767e+01,-1.42108547152020037e-14,0.00000000000000000e+00,6.72133903331772858e-11,1.66003197371366742e-11,3.96464567190713211e-12
-2.00000000000000004e-02,9.80031117654273753e-01,1.01724741916033334e+00,1.07313877755776343e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.46491895790671225e-03,-4.92983791581342451e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.36569388778881717e-01,1.15165113920004702e+00,1.03479231179252906e+00,-7.81767803866021405e-01,-7.55482810373606761e-01,5.56464870329915900e-02,9.44353512967008424e-01,1.49206534045582040e-01,-8.85585777742776803e-01,7.12073193412233341e+00,4.34612770951110789e+01,4.55501685717492251e+01,8.90114456668602969e+01,1.42108547152020037e-14,0.00000000000000000e+00,6.34688516630675564e-11,1.55192049881280664e-11,4.03000648301407403e-12
-1.00000000000000002e-02,9.90007891887630276e-01,1.00850978706008143e+00,1.03577042243694173e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.21580797360569233e-03,-2.43161594721138467e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.17885211218470864e-01,1.07282628075131536e+00,1.01709199060000177e+00,-7.70760541249948861e-01,-7.57808092457067373e-01,5.27398844286658328e-02,9.47260115571334160e-01,1.54931917870785529e-01,-8.62160072725185245e-01,7.05956850942057024e+00,4.27178636050307716e+01,4.48869104552217735e+01,8.76047740602525380e+01,0.00000000000000000e+00,0.00000000000000000e+00,5.86503789184314788e-11,1.42045482150829101e-11,3.96325779286793583e-12
