t,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,norm_v,norm_plus,norm_minus,trilinear
1.00000000000000000e+00,9.80022640521295063e-01,-1.99581174233480568e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.66376051389765453e-02,-4.59498683391681322e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.00184338236936465e+00,5.41888768565731774e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.04563307900732653e-02,-8.07295628668680265e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.92855340083623195e-01,1.45504410546984209e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.07787148486054359e-02,8.25656049967577327e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998945954e-01,9.99999999997998823e-01,9.99999999998924305e-01,9.99999999997934430e-01
1.10000000000000009e+00,9.75832148954618672e-01,-2.19465619624643310e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.03267037858498555e-02,-6.05181703233648063e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.00226967452175808e+00,5.99859369037773968e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.24072281771332154e-02,-8.93805000152290419e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.91518110628222815e-01,1.59618227112734989e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.28279617129096416e-02,9.17691970630928749e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998925970e-01,9.99999999998163025e-01,9.99999999999060751e-01,9.99999999998074651e-01
1.20000000000000018e+00,9.71244106529442930e-01,-2.39336462042526815e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.44223789973154227e-02,-7.77133460291091864e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.00274821853818752e+00,6.58392135088436414e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.44745916912069460e-02,-9.81288847079146848e-02,0.00000000000000000e+00,0.00000000000000000e+00,9.90100785217900792e-01,1.73662970721190940e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.50108729607898381e-02,1.01158617935239836e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998905986e-01,9.99999999998325118e-01,9.99999999999200195e-01,9.99999999998215872e-01
1.30000000000000004e+00,9.66258771578370701e-01,-2.59195154950996320e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.89341961046044316e-02,-9.76882340149342384e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.00328105361810516e+00,7.17467415419049265e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.66464893974456324e-02,-1.06973650321883343e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.88611679667699250e-01,1.87640734889153477e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.73168071541873782e-02,1.10734939182600800e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998886779e-01,9.99999999998488320e-01,9.99999999999341527e-01,9.99999999998358646e-01
1.40000000000000013e+00,9.60876368486823118e-01,-2.79043641169245460e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.38717476600331885e-02,-1.20577983180520038e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.00387016848556176e+00,7.77069556063969824e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.89110096170429474e-02,-1.15914019175678937e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.87059069496646568e-01,2.01553401871497395e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.97352118224225284e-02,1.20498555578057387e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998867795e-01,9.99999999998649192e-01,9.99999999999484857e-01,9.99999999998501421e-01
1.50000000000000000e+00,9.55097077811769002e-01,-2.98884362302627382e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.92446667711693273e-02,-1.46499310537151852e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.00451748992337242e+00,8.37187031430859235e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.12562560288275977e-02,-1.24949511398568650e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.85451175296846116e-01,2.15402618997001388e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.22556398188063949e-02,1.30449199542689881e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998849809e-01,9.99999999998808620e-01,9.99999999999629852e-01,9.99999999998643974e-01
1.60000000000000009e+00,9.48921026210878038e-01,-3.18720268274238772e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.50626411018785339e-02,-1.75549765024040965e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.00522487276757655e+00,8.97812572454643187e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.36703423029228643e-02,-1.34079953309441308e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.83796149418651789e-01,2.29189774778983113e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.48677637017040466e-02,1.40585955212136016e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998832045e-01,9.99999999998967160e-01,9.99999999999774847e-01,9.99999999998787081e-01
1.70000000000000018e+00,9.42348276179790001e-01,-3.38554826986764867e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.13354275474420807e-02,-2.07806996179618142e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.00599409135229823e+00,9.58943292515634649e-02,0.00000000000000000e+00,0.00000000000000000e+00,2.61413862722575871e-02,-1.43305485390420290e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.82102063948334547e-01,2.42915974948084007e-01,0.00000000000000000e+00,0.00000000000000000e+00,-2.75613881422841038e-02,1.50907272125327091e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998815281e-01,9.99999999999124034e-01,9.99999999999919509e-01,9.99999999998929412e-01
1.80000000000000004e+00,9.35378815594588242e-01,-3.58392034145363247e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.80728675918788656e-02,-2.43328026388020535e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.00682683239653370e+00,1.02058081180689958e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.86575036507434600e-02,-1.52626569944911250e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.80376899947809632e-01,2.56582018547767077e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.03264603660626623e-02,1.61410978545223766e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998799516e-01,9.99999999999280687e-01,1.00000000000006306e+00,9.99999999999071854e-01
1.90000000000000013e+00,9.28012547055940273e-01,-3.78236423273656752e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.52849033566188508e-02,-2.82148525331556805e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.00772468932603898e+00,1.08273138086832810e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.12068013094584928e-02,-1.62043998534436462e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.78628537920161246e-01,2.70188374226451811e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.31530786397081015e-02,1.72094294430084505e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998784972e-01,9.99999999999435785e-01,1.00000000000020628e+00,9.99999999999213851e-01
