N,a,tau,rho,psi0,psi1,psi2,psi3,psi4,psi5,psi6,psi7,psi8,psi9,psi10,psi11,psi12,psi13,psi14,psi15,S,U,w,E,S_relative_error,rho_relative_error,potential_relative_error,friedmann_relative_error
-3.90416666666666679e+00,2.01577456153612840e-02,-9.54945227442600575e-01,1.83207793231147838e-02,3.49409016405210991e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.28851270530972672e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.22088321010248750e+05,1.83207793017759815e-02,-1.44890535263078313e+00,1.94376063756742468e+02,4.50223118061935723e-09,8.56342766984842911e-10,1.16473223663032677e-09,3.85154157212821989e-16
-3.89999999999999991e+00,2.02419114458043913e-02,-9.54923723882066144e-01,1.84238661832725192e-02,3.47232020251428139e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.28048461532202018e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.20571715528738277e+05,1.84238661618606227e-02,-1.44885485313251738e+00,1.93159208726687950e+02,4.49763660155338475e-09,8.56602956498507421e-10,1.16218259366629668e-09,3.90022193795411739e-16
-3.89583333333333348e+00,2.03264286988296232e-02,-9.54902084855781208e-01,1.85275213699687517e-02,3.45068587892089340e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.27250654443162947e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.19073949622746208e+05,1.85275213485111695e-02,-1.44880414278070235e+00,1.91949995202790774e+02,4.49008497938134513e-09,8.57021225691702678e-10,1.15814640475583654e-09,3.94951661247987946e-16
-3.89166666666666661e+00,2.04112988417525440e-02,-9.54880309513024161e-01,1.86317478999728295e-02,3.42918634818081841e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.26457818099513597e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.17594789263472834e+05,1.86317478784847265e-02,-1.44875322069494850e+00,1.90748374956764451e+02,4.48091627634713882e-09,8.57519529593843801e-10,1.15330580382451643e-09,3.99943333946756738e-16
-3.88750000000000018e+00,2.04965233480152477e-02,-9.54858396997730452e-01,1.87365488049050476e-02,3.40782077047440225e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.25669921531308071e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.16134003329685249e+05,1.87365487833552023e-02,-1.44870208599119099e+00,1.89554300067178957e+02,4.47508822920630684e-09,8.57830999515271057e-10,1.15015019525647866e-09,6.07496994033501088e-16
-3.88333333333333330e+00,2.05821036972120147e-02,-9.54836346448482254e-01,1.88419271312854526e-02,3.38658831119921103e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.24886933960995639e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.14691363570138667e+05,1.88419271096797354e-02,-1.44865073778167286e+00,1.88367722917482808e+02,4.46862854860979565e-09,8.58169235578113996e-10,1.14668298468383293e-09,6.15174662223838674e-16
-3.87916666666666687e+00,2.06680413751149303e-02,-9.54814156998454511e-01,1.89478859406060490e-02,3.36548814095644218e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.24108824802919737e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.13266644569223892e+05,1.89478859189682811e-02,-1.44859917517493098e+00,1.87188596194039434e+02,4.45964254155632570e-09,8.58630850159633578e-10,1.14196211961588151e-09,4.15299474336845864e-16
-3.87500000000000000e+00,2.07543378736997422e-02,-9.54791827775373636e-01,1.90544283093957816e-02,3.34451943552450814e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.23335563662343684e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.11859623712138142e+05,1.90544282877137018e-02,-1.44854739727578008e+00,1.86016872884174632e+02,4.45197129948053707e-09,8.59017138811885512e-10,1.13790240333350179e-09,4.20547908722109263e-16
-3.87083333333333313e+00,2.08409946911717117e-02,-9.54769357901499305e-01,1.91615573292739545e-02,3.32368137581291933e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.22567120333750168e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.10470081149155289e+05,1.91615573075219897e-02,-1.44849540318529701e+00,1.84852506274239062e+02,4.44698169324143065e-09,8.59262733998119226e-10,1.13518773362693294e-09,4.25862569030265874e-16
-3.86666666666666670e+00,2.09280133319916413e-02,-9.54746746493600251e-01,1.92692761070071446e-02,3.30297314782183889e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.21803464799349648e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.09097799760724782e+05,1.92692760852197012e-02,-1.44844319200080496e+00,1.83695449947681851e+02,4.43837765731206424e-09,8.59677347942046245e-10,1.13068302518800885e-09,6.46866435056019230e-16
